Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return
2020-09-06,2020,9,6,Sunday,36,2020-36,10281.0,10399.15,9916.49,10369.56,33703098409.0,10369.56,0.00867790498409815
2020-09-07,2020,9,7,Monday,36,2020-36,10369.31,10414.78,9945.11,10131.52,33430927462.0,10131.52,-0.022956306264775628
2020-09-08,2020,9,8,Tuesday,36,2020-36,10134.15,10350.54,10017.25,10242.35,24128292755.0,10242.35,0.010939236349907233
2020-09-09,2020,9,9,Wednesday,36,2020-36,10242.33,10503.91,10238.14,10363.14,54406443211.0,10363.14,0.011793293850096198
2020-09-10,2020,9,10,Thursday,36,2020-36,10369.03,10434.92,10140.84,10400.92,45201121775.0,10400.92,0.0036452631180188266
2020-09-11,2020,9,11,Friday,36,2020-36,10409.86,10578.84,10292.39,10442.17,36750077324.0,10442.17,0.003966560559340859
2020-09-12,2020,9,12,Saturday,36,2020-36,10452.4,10577.21,10224.33,10323.76,36506852789.0,10323.76,-0.011340078630605377
2020-09-13,2020,9,13,Sunday,37,2020-37,10328.73,10800.01,10266.01,10680.84,35453581940.0,10680.84,0.0345883839286778
2020-09-14,2020,9,14,Monday,37,2020-37,10677.75,10938.63,10656.46,10796.95,32509451925.0,10796.95,0.010871177190313608
2020-09-15,2020,9,15,Tuesday,37,2020-37,10797.76,11100.12,10704.88,10974.91,30769986455.0,10974.91,0.01648188444401355
2020-09-16,2020,9,16,Wednesday,37,2020-37,10973.25,11037.42,10774.63,10948.99,38151810523.0,10948.99,-0.0023612995663134795
2020-09-17,2020,9,17,Thursday,37,2020-37,10951.82,11034.91,10829.66,10944.59,26341903912.0,10944.59,-0.00040225598714782596
2020-09-18,2020,9,18,Friday,37,2020-37,10933.75,11134.09,10909.62,11094.35,22764204008.0,11094.35,0.013683545731443925
2020-09-19,2020,9,19,Saturday,37,2020-37,11095.87,11095.87,10814.48,10938.27,24699523788.0,10938.27,-0.014067993350005525
2020-09-20,2020,9,20,Sunday,38,2020-38,10934.93,10988.3,10380.26,10462.26,28884999244.0,10462.26,-0.04351800185522625
2020-09-21,2020,9,21,Monday,38,2020-38,10459.62,10568.08,10382.73,10538.46,23621787804.0,10538.46,0.0072833400259153525
2020-09-22,2020,9,22,Tuesday,38,2020-38,10539.46,10637.85,10185.77,10225.86,22986733997.0,10225.86,-0.029662370430184937
2020-09-23,2020,9,23,Wednesday,38,2020-38,10227.48,10765.79,10215.21,10745.55,23017536742.0,10745.55,0.050820601292009604
2020-09-24,2020,9,24,Thursday,38,2020-38,10747.47,10757.55,10594.05,10702.29,21232549821.0,10702.29,-0.004025740309259618
2020-09-25,2020,9,25,Friday,38,2020-38,10702.24,10778.5,10682.08,10754.44,18105012128.0,10754.44,0.004872551645224155
2020-09-26,2020,9,26,Saturday,38,2020-38,10752.94,10804.73,10643.46,10774.43,18016880214.0,10774.43,0.00185869858953569
2020-09-27,2020,9,27,Sunday,39,2020-39,10771.64,10949.12,10716.68,10721.33,22720365389.0,10721.33,-0.004928300184183554
2020-09-28,2020,9,28,Monday,39,2020-39,10712.46,10858.94,10665.34,10848.83,20459870042.0,10848.83,0.011892457708100324
2020-09-29,2020,9,29,Tuesday,39,2020-39,10845.41,10856.53,10689.67,10787.62,20759622010.0,10787.62,-0.005642259453019216
2020-09-30,2020,9,30,Wednesday,39,2020-39,10785.01,10915.84,10493.55,10623.33,27178227816.0,10623.33,-0.015229319710703515
2020-10-01,2020,10,1,Thursday,39,2020-39,10624.39,10662.81,10440.31,10585.16,23127839259.0,10585.16,-0.0035926602434758204
2020-10-02,2020,10,2,Friday,39,2020-39,10583.81,10614.09,10527.98,10565.49,17094010304.0,10565.49,-0.0018583461079444419
